verseId,keyword,score
1:1,name,0.61567
1:1,gracious,0.594017
1:1,merciful,0.517778
1:2,praise,0.722392
1:2,universe,0.691483
1:3,gracious,0.753825
1:3,merciful,0.657075
1:4,master,0.734866
1:4,judgment,0.678212
1:5,alone,0.728964
1:5,worship,0.370352
1:5,ask,0.395625
1:5,help,0.418248
1:6,guide,0.52614
1:6,right,0.615618
1:6,path,0.586678
1:7,path,0.369052
1:7,bless,0.36782
1:7,deserve,0.403103
1:7,wrath,0.529216
1:7,strayer,0.534741
2:2,scripture,0.256139
2:2,infallible,0.496746
2:2,beacon,0.400495
2:2,righteous,0.400854
2:2,three,0.384859
2:2,category,0.467374
2:3,unseen,0.559084
2:3,observe,0.32718
2:3,contact,0.345797
2:3,prayer,0.332811
2:3,salat,0.345797
2:3,provision,0.332161
2:3,charity,0.346601
2:4,reveal,0.659717
2:4,regard,0.461455
2:4,hereafter,0.384834
2:4,certain,0.45137
2:5,guide,0.485519
2:5,winner,0.722047
2:5,disbeliever,0.492869
2:6,disbelieve,0.301456
2:6,whether,0.466397
2:6,warn,0.737107
2:6,cannot,0.385061
2:7,seal,0.396297
2:7,mind,0.356514
2:7,hear,0.29754
2:7,eye,0.311878
2:7,veil,0.43956
2:7,incur,0.266203
2:7,severe,0.363698
2:7,hypocrite,0.365644
2:8,last,0.796387
2:8,believer,0.604787
2:9,try,0.389945
2:9,deceive,0.76203
2:9,without,0.299152
2:9,perceive,0.421618
2:10,mind,0.318946
2:10,incur,0.238151
2:10,disease,0.690826
2:10,consequently,0.261539
2:10,augment,0.354537
2:10,painful,0.278324
2:10,lie,0.304554
2:11,righteous,0.431001
2:11,tell,0.554281
2:11,commit,0.48359
2:11,evil,0.52264
2:12,perceive,0.595414
2:12,fact,0.491433
2:12,evildoer,0.635591
2:13,tell,0.294868
2:13,fact,0.320131
2:13,like,0.445704
2:13,fool,0.74919
2:13,know,0.225015
2:14,alone,0.42479
2:14,believer,0.356937
2:14,meet,0.468392
2:14,devil,0.43264
2:14,mock,0.534397
2:15,mock,0.529668
2:15,lead,0.388721
2:15,transgression,0.484046
2:15,blunder,0.577969
2:16,buy,0.430744
2:16,stray,0.35217
2:16,expense,0.439266
2:16,guidance,0.515144
2:16,trade,0.385045
2:16,receive,0.289564
2:17,like,0.193885
2:17,example,0.228819
2:17,start,0.314105
2:17,fire,0.244187
2:17,begin,0.354333
2:17,shed,0.333382
2:17,light,0.407401
2:17,around,0.244187
2:17,take,0.190476
2:17,leave,0.208514
2:17,darkness,0.265764
2:17,unable,0.325904
2:17,see,0.181274
2:18,deaf,0.46741
2:18,dumb,0.54019
2:18,blind,0.432693
2:18,fail,0.421112
2:18,return,0.353785
2:19,disbeliever,0.193171
2:19,example,0.239129
2:19,darkness,0.277738
2:19,another,0.220431
2:19,sky,0.229564
2:19,thunder,0.348402
2:19,lightning,0.323209
2:19,put,0.239804
2:19,finger,0.340588
2:19,ear,0.295949
2:19,evade,0.314608
2:19,death,0.230649
2:19,fully,0.202053
2:19,aware,0.2171
2:20,hear,0.198037
2:20,light,0.224116
2:20,take,0.177413
2:20,lightning,0.288063
2:20,almost,0.25222
2:20,snatch,0.303552
2:20,eyesight,0.487734
2:20,move,0.257559
2:20,forward,0.330031
2:20,turn,0.17536
2:20,dark,0.303552
2:20,stand,0.230137
2:20,omnipotent,0.226581
2:21,worship,0.487858
2:21,create,0.48319
2:21,may,0.448386
2:21,save,0.572252
2:22,know,0.170996
2:22,sky,0.383745
2:22,make,0.182513
2:22,habitable,0.314642
2:22,structure,0.336259
2:22,send,0.173482
2:22,water,0.23415
2:22,produce,0.236089
2:22,kind,0.224582
2:22,fruit,0.254933
2:22,sustenance,0.365591
2:22,set,0.206757
2:22,idol,0.192096
2:22,rival,0.329735
2:23,reveal,0.285262
2:23,regard,0.33784
2:23,like,0.267214
2:23,produce,0.31536
2:23,doubt,0.320925
2:23,servant,0.290134
2:23,sura,0.414902
2:23,call,0.304178
2:23,witness,0.287917
2:23,truthful,0.314484
2:24,disbeliever,0.252303
2:24,cannot,0.288476
2:24,beware,0.39355
2:24,hellfire,0.34941
2:24,whose,0.320813
2:24,fuel,0.428741
2:24,rock,0.383343
2:24,await,0.377445
2:25,righteous,0.157226
2:25,provision,0.195992
2:25,lead,0.186269
2:25,fruit,0.230038
2:25,good,0.168396
2:25,news,0.20265
2:25,life,0.160398
2:25,garden,0.206472
2:25,flow,0.224823
2:25,stream,0.230981
2:25,provide,0.312442
2:25,previously,0.297535
2:25,allegorical,0.318904
2:25,description,0.329889
2:25,pure,0.268433
2:25,spouse,0.245989
2:25,abide,0.188399
2:25,forever,0.206977
2:26,guide,0.160257
2:26,disbelieve,0.145621
2:26,know,0.145862
2:26,kind,0.191571
2:26,shy,0.311854
2:26,cite,0.232541
2:26,allegory,0.454431
2:26,tiny,0.258923
2:26,greater,0.253758
2:26,truth,0.169691
2:26,mean,0.235319
2:26,mislead,0.398429
2:26,many,0.316837
2:26,except,0.167641
2:26,wicked,0.18564
2:27,commit,0.239806
2:27,evil,0.259171
2:27,violate,0.349966
2:27,covenant,0.31665
2:27,pledge,0.33068
2:27,uphold,0.313987
2:27,sever,0.397528
2:27,command,0.275476
2:27,join,0.340502
2:27,loser,0.307873
2:28,disbelieve,0.25153
2:28,return,0.318185
2:28,put,0.348836
2:28,death,0.33552
2:28,life,0.443448
2:28,dead,0.363246
2:28,bring,0.309709
2:28,ultimately,0.420377
2:29,universe,0.342139
2:29,sky,0.322759
2:29,fully,0.28408
2:29,aware,0.305235
2:29,turn,0.27663
2:29,create,0.27127
2:29,everything,0.255312
2:29,perfect,0.369228
2:29,seven,0.400557
2:29,thing,0.304674
2:30,praise,0.212502
2:30,evil,0.178886
2:30,know,0.245121
2:30,shed,0.291222
2:30,uphold,0.216721
2:30,recall,0.21413
2:30,angel,0.18611
2:30,place,0.313206
2:30,representative,0.309524
2:30,temporary,0.262974
2:30,spread,0.24533
2:30,blood,0.259857
2:30,sing,0.309524
2:30,glorify,0.197187
2:30,absolute,0.259857
2:30,authority,0.239807
2:31,name,0.596194
2:31,right,0.311783
2:31,angel,0.311783
2:31,teach,0.378363
2:31,adam,0.384472
2:31,present,0.398947
2:32,except,0.353529
2:32,glorify,0.418967
2:32,teach,0.479875
2:32,knowledge,0.394626
2:32,omniscient,0.398741
2:32,wise,0.39304
2:33,name,0.471158
2:33,tell,0.527105
2:33,know,0.324521
2:33,adam,0.30384
2:33,secret,0.289355
2:33,heaven,0.205632
2:33,declare,0.302175
2:33,conceal,0.291919
2:34,disbeliever,0.222398
2:34,except,0.229176
2:34,angel,0.25634
2:34,adam,0.316103
2:34,fall,0.280167
2:34,prostrate,0.488452
2:34,fell,0.330299
2:34,satan,0.335238
2:34,refuse,0.32581
